Ville,prixMoyenProduits,fraisMoyen
ipaumirim,269.9,37.21
livramento,269.9,26.09
campo novo,269.895,26.61
altos,269.078,43.096000000000004
santo amaro de campos,268.63,27.629999999999995
aguas formosas,268.34000000000003,47.774
trindade,268.2274999999999,32.25857142857143
capao do leao,268.0625,45.6025
monte alverne,268.0,14.01
iguai,267.995,25.575
crateus,267.5288888888889,41.29333333333333
jacunda,266.95166666666665,40.51833333333334
nova aurora,266.47249999999997,27.175
barra do choca,266.3333333333333,26.16333333333333
escada,265.843,89.827
sao miguel do araguaia,264.23,39.376000000000005
tiangua,264.12111111111113,39.51
cristalina,264.08125,20.355
atalanta,263.99,87.01
itarana,263.12333333333333,73.55
pombal,262.9166666666667,105.45
iguaracu,262.85,66.75
sao joao do piaui,261.96500000000003,66.82166666666666
divinopolis,261.49459259259254,25.855333333333334
valenca do piaui,260.75,51.2175
trabiju,259.99,19.92
uniao dos palmares,259.99,49.26
mar vermelho,259.99,84.52
novo oriente de minas,259.99,21.01
feliz natal,259.99,19.39
quata,259.9633333333333,24.810833333333335
salto do itarare,259.9,16.57
campina da lagoa,259.85,37.06
mucurici,259.8,155.86
cocais,259.0,22.3
gloria do goita,258.495,35.465
vazante,258.2716666666667,38.445
princesa isabel,258.0,86.62
ronda alta,257.3883333333334,61.663333333333334
campina grande,257.3607352941176,77.68764705882353
mucuge,256.99,28.75
santo antonio do caiua,256.3,46.25
sao sebastiao da grama,256.1975,19.3075
minas do leao,256.0,24.72
xambre,255.5,18.369999999999997
cambuci,255.34875,29.64125
encantado,255.1972727272727,35.3890909090909
igaratinga,253.52,82.86
denise,253.5,29.815
nucleo residencial pilar,253.04375,49.125
sao martinho,252.33,60.44
patos,252.290625,47.414375
mata verde,252.08833333333334,25.83
santo antonio de posse,251.39450000000002,18.2665
guarara,250.995,22.29
pacaembu,250.88166666666666,14.963333333333333
queimadas,250.81666666666666,39.01777777777778
santo amaro da imperatriz,250.6091666666667,24.061666666666667
carmo do paranaiba,250.54000000000002,40.269375000000004
alto taquari,250.29333333333332,23.430000000000003
presidente juscelino,249.99,52.47
humildes,249.99,110.82
cedro,249.9,106.21
santana do ipanema,249.9,35.55
divinesia,249.9,83.61
itaguacu da bahia,249.7,18.19
brejo grande,249.0,19.84
ico,248.86,45.558749999999996
macatuba,248.72000000000003,38.98416666666666
sao miguel do guama,248.158,54.722
pedralva,247.99,33.45333333333333
sao joao d'alianca,247.84333333333333,33.776666666666664
virgem da lapa,245.96666666666667,42.18
iguatu,245.07933333333338,45.28999999999999
sao goncalo do para,244.96666666666667,80.31666666666665
itajuipe,244.83,39.26333333333333
corbelia,244.6,17.14
barra de guabiraba,243.2,39.7
barros cassal,243.0,23.786666666666665
itapiranga,242.47090909090912,23.155454545454546
camanducaia,242.29666666666668,22.343333333333334
lucas do rio verde,241.99,34.16875
carmesia,241.1,39.53
sabino,241.0,26.623333333333335
santa vitoria,240.22176470588232,27.200588235294116
galinhos,240.0,35.48
osvaldo kroeff,239.99,22.17
penaforte,239.945,39.57
itapirapua paulista,239.89999999999998,17.135
candido mendes,239.8,76.78
colniza,239.65666666666667,52.173333333333325
alto caparao,239.45,21.59
morro da fumaca,239.42857142857142,35.06428571428571
pau brasil,239.2,76.72
colonia leopoldina,238.99,26.935000000000002
navirai,238.86,50.295
munhoz de melo,238.4725,20.8425
amaraji,238.445,22.5
guacui,237.330625,32.15375
sao mateus do maranhao,236.73333333333335,73.5
maioba,236.26333333333332,23.093333333333334
condado,236.2,31.5775
caraibas,235.9,13.9
jampruca,235.9,26.93
sao bernardo,235.59666666666666,72.2
neopolis,235.0,22.1
buique,235.0,18.09
muliterno,235.0,35.45
goiatuba,234.744,30.068
palma sola,234.7,17.9375
gouveia,234.24,57.56750000000001
canelinha,233.485,19.695
serra negra,233.39499999999998,23.712857142857143
campinas do sul,233.14833333333334,22.058333333333334
saltinho,232.958,30.312
catende,232.88285714285715,44.5
figueira,232.195,21.0225
bom conselho,232.13285714285715,31.912857142857145
luis eduardo magalhaes,231.77416666666664,33.18944444444445
conceicao do para,231.66333333333333,18.186666666666667
pedro osorio,230.81666666666663,20.176666666666666
querencia,230.262,39.93300000000001
barreiros,230.1933333333333,45.42333333333334
itanhem,230.0,48.66
itape,230.0,28.56
canapi,230.0,147.32
quipapa,230.0,42.99
mamonas,230.0,16.36
boa vista do burica,229.99,22.1
barauna,229.99,58.38
silvanopolis,229.99,43.89
jandaia do sul,229.90625,39.6875
tenente ananias,229.9,44.02
portela,229.9,16.36
japi,229.9,64.29
itapirapua,229.89999999999998,17.77
sao bento,229.77799999999996,46.47
varre-sai,229.725,29.1175
sertanopolis,229.7,22.335
magda,229.495,18.54
ciriaco,229.0,23.74
arapora,228.87600000000003,21.798
trairi,228.5,43.265
jacaraci,227.9475,32.120000000000005
terra de areia,227.458,22.727999999999998
santa maria do suacui,227.45,31.424999999999997
caputira,227.14,68.19
estrela d'oeste,227.07,30.38
caririacu,227.0,32.57
sao domingos do araguaia,227.0,43.65
salinas,226.67136363636365,32.01772727272727
ribeirao branco,226.495,31.25
cuite,226.29666666666665,39.20666666666667
pereira barreto,226.0378947368421,22.547894736842103
sao felix do coribe,226.0,40.06
bela cruz,224.975,31.1425
taquarivai,224.96333333333334,21.336666666666662
tutoia,224.945,53.49
pintadas,224.89999999999998,35.35
rolandia,224.48259259259262,33.14333333333334
itueta,224.445,30.025
