Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
guaruja,226,132.91857142857134,17.4734375,4.092511013215859,6,-23.978902860773438,-46.26040545326232,São Paulo,0.02654867256637168
aracaju,225,165.94454545454536,36.77727272727273,3.7466666666666666,1,-10.941346378601732,-37.06727810860308,Sergipe,0.0044444444444444444
americana,224,112.78900452488679,16.983529411764707,4.2,10,-22.737256111041685,-47.32369935794698,São Paulo,0.044642857142857144
caxias do sul,224,171.78602678571426,26.0771875,4.135371179039302,2,-29.163658257979264,-51.17937527854717,Rio Grande do Sul,0.008928571428571428
caxias do sul,224,171.78602678571426,26.0771875,4.135371179039302,16,-29.163658257979264,-51.17937527854717,Rio Grande do Sul,0.07142857142857142
montes claros,211,126.49710900473926,22.732227488151658,4.260663507109005,3,-16.728481233546674,-43.86084218725256,Minas Gerais,0.014218009478672985
canoas,210,128.15909090909085,24.868803827751197,3.9624413145539905,9,-29.921655879098733,-51.174495237165324,Rio Grande do Sul,0.04285714285714286
natal,207,175.26521951219502,33.76404878048781,3.9903846153846154,2,-5.812242777634389,-35.2214626461548,Rio Grande do Norte,0.00966183574879227
betim,203,149.21547263681583,21.679651741293537,4.122549019607843,5,-19.954066182129807,-44.16696162695821,Minas Gerais,0.024630541871921183
santa maria,197,161.47482233502532,28.052233502538066,4.186868686868687,3,-11.314698067779764,-34.725129839453665,Rio de Janeiro,0.015228426395939087
santa maria,197,161.47482233502532,28.052233502538066,4.186868686868687,3,-29.694740023885164,-53.80206641933695,Rio Grande do Sul,0.015228426395939087
santa maria,197,161.47482233502532,28.052233502538066,4.186868686868687,3,-16.013791564761796,-48.00914868808301,District fédéral,0.015228426395939087
santa maria,197,161.47482233502532,28.052233502538066,4.186868686868687,3,-5.84076151578525,-35.692963484542844,Rio Grande do Norte,0.015228426395939087
marilia,196,172.98102040816326,18.31474489795918,4.2639593908629445,15,-22.20944528746971,-49.94761150402022,São Paulo,0.07653061224489796
jacarei,194,95.7467875647668,15.368704663212435,4.097938144329897,7,-23.296728672789897,-45.96374124064232,São Paulo,0.03608247422680412
uberaba,191,151.78962962962953,24.600582010582013,4.44559585492228,3,-19.752823866371905,-47.935837449992846,Minas Gerais,0.015706806282722512
limeira,190,122.13698412698406,17.40888888888889,4.219895287958115,17,-22.573478963976974,-47.408479247924056,São Paulo,0.08947368421052632
blumenau,188,132.38160427807478,23.997647058823528,4.154255319148936,1,-26.899545050254904,-49.08859270065109,Santa Catarina,0.005319148936170213
blumenau,188,132.38160427807478,23.997647058823528,4.154255319148936,20,-26.899545050254904,-49.08859270065109,Santa Catarina,0.10638297872340426
pelotas,186,121.66918478260862,27.007934782608697,4.175531914893617,3,-31.751268758641064,-52.33736241072298,Rio Grande do Sul,0.016129032258064516
feira de santana,185,149.4712972972972,26.024918918918914,4.048387096774194,1,-12.250012686237463,-38.95696188720092,Bahia,0.005405405405405406
santana de parnaiba,185,127.98928571428567,16.274945054945054,4.118279569892473,9,-23.45227184674429,-46.88017162684783,São Paulo,0.04864864864864865
valinhos,183,123.20519125683053,17.016775956284153,4.209677419354839,7,-22.970891180445857,-46.99698053847307,São Paulo,0.03825136612021858
sumare,183,118.71779005524857,17.29756906077348,3.9239130434782608,5,-22.820374918645964,-47.23182615492961,São Paulo,0.0273224043715847
itaquaquecetuba,172,113.24701754385957,14.994678362573097,3.895348837209302,9,-23.47025942737683,-46.342772865625825,São Paulo,0.05232558139534884
ipatinga,171,128.40479532163738,24.675789473684212,3.9767441860465116,2,-19.469778652462967,-42.55329183239245,Minas Gerais,0.011695906432748537
itapevi,170,107.93476470588229,16.485294117647054,4.251461988304094,4,-23.54862943385628,-46.94612308104324,São Paulo,0.023529411764705882
