nbPaiements,montant,nbPaiementPrediction,id
4.0,201.65,3.724380717073646,190
3.0,93.64,3.1564532054285066,191
1.0,55.97,2.958380532864185,192
5.0,144.9,3.42598347343082,193
2.0,78.18,3.0751629607286284,194
1.0,97.89,3.178800135569159,195
3.0,100.37,3.1918402265688806,196
1.0,333.48,4.417556199530629,197
2.0,85.89,3.1157029210543765,198
3.0,723.0,6.465691782680472,199
1.0,68.89,3.0263152004917675,200
1.0,163.0,3.5211551053239503,201
1.0,76.29,3.06522514944255,202
4.0,335.47,4.4280198209376636,203
2.0,180.22,3.611699608152663,204
6.0,127.92,3.3367009148924023,205
2.0,31.33,2.828820919060498,206
3.0,183.79,3.630471029470811,207
4.0,73.34,3.049713750874333,208
1.0,58.59,2.972156758033246,209
2.0,138.06,3.390018061157394,210
1.0,45.46,2.9031178891516545,211
1.0,75.3,3.0600196292450805,212
3.0,293.92,4.209545715680228,213
1.0,125.07,3.3217153264451413,214
7.0,155.05,3.479353200707907,215
8.0,231.79,3.882859887529942,216
1.0,70.83,3.036515916838324,217
2.0,168.2,3.5484972316136894,218
1.0,32.43,2.8346048303910196,219
8.0,376.95,4.646125859110429,220
1.0,157.91,3.4943913701672633,221
1.0,44.09,2.89591429049455,222
2.0,172.51,3.5711596478269154,223
6.0,198.48,3.707712536239324,224
3.0,34.99,2.8480655694875066,225
6.0,319.51,4.344100525633003,226
1.0,46.86,2.910479230845046,227
3.0,456.81,5.066037821706307,228
2.0,54.0,2.9480220734813414,229
4.0,376.26,4.6424977692758285,230
1.0,91.45,3.144937963779559,231
1.0,494.68,5.265162114512542,232
2.0,117.95,3.284277645833037,233
1.0,30.29,2.8233524938025503,234
3.0,117.5,3.2819115002887327,235
3.0,66.62,3.0143793107460546,236
6.0,130.3,3.3492151957711678,237
5.0,52.25,2.9388203963646022,238
6.0,93.3,3.1546654510172547,239
3.0,75.68,3.0620177077047153,240
1.0,67.36,3.0182703056411326,241
2.0,83.34,3.102294762969985,242
3.0,35.24,2.849380094789898,243
1.0,75.08,3.0588628469789763,244
12.0,286.64,4.171266738874594,245
4.0,45.0,2.9006991625952545,246
1.0,194.0,3.684156242820472,247
4.0,205.75,3.745938932032863,248
1.0,62.65,2.9935046489440804,249
1.0,166.59,3.5400316886662893,250
3.0,81.72,3.0937766390104895,251
4.0,215.25,3.795890893523733,252
4.0,40.75,2.8783522324546023,253
3.0,74.55,3.0560760533379066,254
10.0,1057.88,8.226524715739673,255
1.0,67.13,3.017060942362933,256
3.0,211.37,3.7754894608306198,257
1.0,35.22,2.8492749327657068,258
4.0,272.54,4.097127511819725,259
1.0,64.1,3.00112889569795,260
4.0,190.0,3.6631238379822113,261
3.0,66.59,3.0142215677097677,262
8.0,263.65,4.050382992066689,263
5.0,97.92,3.1789578786054458,264
1.0,126.16,3.3274466567635677,265
10.0,317.15,4.331691406778429,266
10.0,682.14,6.250845767257637,267
1.0,161.27,3.5120585902314025,268
2.0,54.57,2.9510191911707935,269
2.0,166.01,3.5369819899647417,270
1.0,51.82,2.936559412844489,271
4.0,205.0,3.741995356125689,272
5.0,55.0,2.9532801746909065,273
1.0,146.68,3.435342893583846,274
5.0,67.11,3.0169557803387415,275
4.0,40.85,2.878878042575559,276
2.0,28.19,2.8123104812624633,277
5.0,144.63,3.4245637861042373,278
1.0,108.82,3.2362711817897067,279
1.0,20.03,2.769404375392411,280
1.0,200.02,3.7158100121020547,281
1.0,69.73,3.0307320055078026,282
10.0,125.16,3.3221885555540025,283
1.0,78.79,3.0783704024664633,284
2.0,116.94,3.278966963611376,285
1.0,18.29,2.7602552792877675,286
1.0,21.11,2.7750831246987415,287
8.0,342.02,4.462460383860315,288
2.0,75.07,3.0588102659668808,289
3.0,33.51,2.84028357969735,290
1.0,124.52,3.3188233707798807,291
1.0,35.77,2.8521668884309674,292
1.0,47.72,2.915001197885272,293
1.0,137.55,3.3873364295405155,294
1.0,65.43,3.008122170306672,295
10.0,101.39,3.197203489802637,296
2.0,194.47,3.686627550388968,297
1.0,94.3,3.15992355222682,298
2.0,45.79,2.904853062550811,299
2.0,55.04,2.9534904987392894,300
1.0,165.36,3.5335642241785243,301
1.0,110.7,3.2461564120636894,302
1.0,158.17,3.4957584764817504,303
6.0,339.11,4.447159309340481,304
4.0,1198.89,8.967969567300464,305
2.0,56.41,2.9606940973963938,306
5.0,53.39,2.944814631743507,307
4.0,478.56,5.18040152301435,308
9.0,112.08,3.2534125917328893,309
18.0,368.7,4.602746524131516,310
5.0,56.27,2.9599579632270547,311
7.0,76.66,3.0671706468900894,312
6.0,137.37,3.3863899713227936,313
10.0,108.2,3.2330111590397763,314
1.0,53.95,2.9477591684208635,315
7.0,154.77,3.477880932369229,316
1.0,51.72,2.936033602723533,317
2.0,101.01,3.1952054113430024,318
2.0,106.97,3.226543694552011,319
1.0,61.61,2.988036223686133,320
2.0,83.56,3.1034515452360893,321
6.0,144.13,3.4219347354994545,322
1.0,37.5,2.8612634035235156,323
4.0,2314.82,14.835642450090578,324
2.0,200.98,3.720857789263237,325
1.0,42.83,2.889289082970498,326
4.0,51.7,2.9359284406993416,327
3.0,95.56,3.166548759750872,328
4.0,133.25,3.364726594339385,329
1.0,41.28,2.881139026095672,330
1.0,118.72,3.2883263837644026,331
1.0,37.89,2.863314062995246,332
1.0,47.43,2.913476348534498,333
2.0,134.39,3.370720829718289,334
3.0,103.64,3.209034217524159,335
1.0,83.23,3.101716371836933,336
9.0,98.44,3.18169209123442,337
3.0,209.0,3.76302776096395,338
3.0,925.38,7.529826305472281,339
5.0,113.33,3.2599852182448457,340
3.0,35.04,2.848328474547985,341
1.0,98.7,3.1830591975489066,342
1.0,64.34,3.0023908399882457,343
2.0,172.84,3.572894821226072,344
2.0,37.37,2.860579850366272,345
4.0,49.51,2.9244131990503934,346
6.0,153.77,3.472622831159663,347
1.0,26.94,2.8057378547505065,348
7.0,141.24,3.406738823003811,349
1.0,2.23,2.6758101738621503,350
4.0,282.27,4.148288836588794,351
1.0,170.19,3.558960853020724,352
3.0,100.75,3.1938383050285153,353
2.0,189.56,3.6608102734500023,354
1.0,158.21,3.495968800530133,355
1.0,92.79,3.1519838194003764,356
5.0,200.76,3.719701006997133,357
4.0,222.92,3.836220529801098,358
1.0,26.79,2.804949139569072,359
10.0,321.58,4.354984795136803,360
4.0,96.94,3.173804939420072,361
1.0,40.96,2.879456433708611,362
3.0,103.93,3.210559066874933,363
1.0,254.46,4.002061041950785,364
4.0,96.01,3.168914905295176,365
1.0,131.04,3.353106190666246,366
4.0,168.3,3.549023041734646,367
3.0,217.84,3.809509375656507,368
3.0,106.16,3.222284632572263,369
4.0,98.51,3.1820601583190893,370
1.0,47.93,2.9161053991392807,371
1.0,14.29,2.739222874449507,372
1.0,55.86,2.9578021417311327,373
2.0,74.07,3.053552164757315,374
8.0,328.16,4.389583101095742,375
10.0,101.36,3.1970457467663502,376
5.0,106.16,3.222284632572263,377
1.0,28.13,2.8119949951898895,378
