geolocation_city,latitudeVille,longitudeVille,Etat
almas,-11.567892561876574,-47.1683104339993,Tocantins
almeirim,-1.5275035267552195,-52.57714994793208,Pará
almenara,-16.176287602159032,-40.69302960684198,Minas Gerais
almino afonso,-6.155247530745038,-37.76818300221504,Rio Grande do Norte
almirante tamandare,-25.333449013270272,-49.28401729149064,Paraná
almirante tamandare do sul,-28.116015587988,-52.914714553089986,Rio Grande do Sul
almirante tamandaré,-25.331719159896537,-49.28835123538913,Paraná
almirante tamandaré do sul,-28.111052791742267,-52.91734552535572,Rio Grande do Sul
aloandia,-17.730768613653673,-49.476715112055636,Goiás
aloândia,-17.724938627006498,-49.48113596867425,Goiás
alpercata,-18.97882641545508,-41.979683055880244,Minas Gerais
alpestre,-27.25035234287266,-53.03555485473069,Rio Grande do Sul
alpinopolis,-20.85823704007911,-46.38672391868265,Minas Gerais
alpinópolis,-20.861700631340742,-46.3881005312071,Minas Gerais
alta alegre dos parecis,-12.131338609068512,-61.85347578961117,Rondônia
alta floresta,-9.902096283770888,-56.14798246464175,Mato Grosso
alta floresta d'oeste,-11.947014804296675,-61.99946134183562,Rondônia
alta floresta do oeste,-11.927292447340866,-61.993178631031334,Rondônia
alta floresta doeste,-11.936514767963192,-62.00345070550289,Rondônia
altair,-20.525024597395166,-49.06086757416893,São Paulo
altamira,-3.2066377414917957,-52.21607476388612,Pará
altamira do maranhao,-4.169239641524318,-45.48681350594832,Maranhão
altamira do parana,-24.79917358055336,-52.715429195588364,Paraná
altamira do paraná,-24.80004256455994,-52.71550754024809,Paraná
altaneira,-6.999919634947143,-39.7392994531862,Ceará
alterosa,-21.2558336455043,-46.14487857042155,Minas Gerais
altinho,-8.488189811112091,-36.06023398040497,Pernambuco
altinopolis,-21.020873569557786,-47.377170499566446,São Paulo
altinópolis,-21.022586478038754,-47.37841678587678,São Paulo
alto alegre,-28.780864912250042,-52.989186791718815,Rio Grande do Sul
alto alegre,-21.58329549823349,-50.16748932796554,São Paulo
alto alegre,-22.897388387199392,-51.88850965356307,Paraná
alto alegre,2.9934006580974075,-61.38615039228471,Roraima
alto alegre do iguacu,-22.896711706478502,-51.890841433961405,Paraná
alto alegre do maranhao,-4.214134911794691,-44.44951278413494,Maranhão
alto alegre do pindare,-3.7329394695563454,-45.867072298336375,Maranhão
alto alegre do pindaré,-3.671094031611729,-45.845548140126475,Maranhão
alto alegre dos parecis,-12.135037339165095,-61.85829592723606,Rondônia
alto araguaia,-17.31726008132974,-53.223327746417894,Mato Grosso
alto bela vista,-27.431744031945783,-51.906781127304434,Santa Catarina
alto boa vista,-11.679428518842505,-51.37675429719135,Mato Grosso
alto calcado,-20.946109999999976,-41.61999999999995,Espírito Santo
alto caparao,-20.44423852885907,-41.87048771838964,Minas Gerais
alto caparaó,-20.44164809081363,-41.86819741955752,Minas Gerais
alto do rodrigues,-5.29488246695531,-36.75812276543538,Rio Grande do Norte
alto feliz,-29.395218045466553,-51.309959126537244,Rio Grande do Sul
alto garcas,-16.946187011167666,-53.53123705275049,Mato Grosso
alto garças,-16.945731367928254,-53.53012239512448,Mato Grosso
alto horizonte,-14.194380211559098,-49.34015563206795,Goiás
alto jequitiba,-20.426521477998413,-41.96425062201729,Minas Gerais
alto jequitibá,-20.426429502620714,-41.96403742351163,Minas Gerais
alto longa,-5.252364654310874,-42.20801055021926,Piauí
alto maranhao,-20.562229075264067,-43.856807486033915,Minas Gerais
alto mutum preto,-19.274999999999977,-40.90749999999997,Espírito Santo
alto paraguai,-14.513116110118148,-56.487034573030726,Mato Grosso
alto paraiso,-9.718587699259096,-63.326395243811135,Rondônia
alto paraiso,-23.507019839218874,-53.72850309319656,Paraná
alto paraiso de goias,-14.139492062754918,-47.516851679960176,Goiás
alto parana,-23.130730094832906,-52.321864300392704,Paraná
alto paraná,-23.127808402796493,-52.309908679504616,Paraná
alto paraíso,-23.50562086030579,-53.73231372825629,Paraná
alto paraíso,-9.719568514473316,-63.31690572943087,Rondônia
alto paraíso de goiás,-14.138701191474786,-47.517061823243935,Goiás
alto parnaiba,-9.12552587116556,-45.947181513960324,Maranhão
alto parnaíba,-9.11113812965101,-45.93251912207106,Maranhão
alto piquiri,-24.03226762264084,-53.43985746757153,Paraná
