geolocation_city,latitude,longitude
amambaí,-23.09837127221937,-55.225773365487875
amanari,-3.504514941264218,-39.57289793990247
amandina,-22.385330182396338,-53.594664287294876
amanhece,-18.53401304549487,-48.19629512032545
amapa,2.0537900112566634,-50.792152054234904
amapa do maranhao,-1.6732576653020135,-46.01030262739159
amapari,0.7771879222276791,-51.955832230238556
amapora,-23.095387898319984,-52.786050657616805
amaporã,-23.092848111298878,-52.79049991664669
amapá do maranhão,-1.6747728410811775,-46.01120050486437
amaraji,-8.376909914843818,-35.45189171440257
amaral ferrador,-30.874238817770845,-52.253193029298465
amaralina,-13.902455161044607,-49.40402650998531
amarante,-6.242804734400219,-42.85353104106899
amarante do maranhao,-5.550368892779593,-46.71919417707302
amarantina,-20.31150115053566,-43.69816552900801
amargosa,-13.027915958035505,-39.601691042196734
amatura,-3.366347571444517,-68.19808226751044
amaturá,-3.360578634395564,-68.19734060856122
amelia rodrigues,-12.399008114779287,-38.75668208849201
america dourada,-11.45534706517941,-41.45792194795551
americana,-22.737256111041685,-47.32369935794698
americano,-1.3043903244378463,-48.049921574413105
americano do brasil,-16.25358822328803,-49.98156896584807
americo brasiliense,-21.73283329963874,-48.10993077579758
americo de campos,-20.299632573742656,-49.73238197918518
ametista do sul,-27.36584670498762,-53.17863649948286
amontada,-3.3654681773745936,-39.83000034505478
amorinopolis,-16.620679529424258,-51.09556960647198
amorinópolis,-16.615396337069903,-51.09695599941002
amparo,-22.66181829147851,-46.74996861485433
amparo da serra,-20.50873879690439,-42.800915905257945
amparo de sao francisco,-10.129935198619389,-36.926615680686055
ampere,-25.919482425429972,-53.47426387071247
ampére,-25.92232845947279,-53.47487003092399
amélia rodrigues,-12.409339492924593,-38.74574885622104
américo brasiliense,-21.73493972579475,-48.1099810149176
américo de campos,-20.297990800863584,-49.733959948663376
ana dias,-24.303711041917182,-47.066068664780154
anadia,-9.684047221479462,-36.30329345457926
anage,-14.611423342423128,-41.136312128144475
anagé,-14.610797833111864,-41.13701921768496
anahy,-24.644865290669706,-53.13371122383854
anajas,-1.0043124828655856,-49.92184596497755
anajatuba,-3.2657824748273385,-44.61562673124349
anajás,-0.9844708415587738,-49.93890235637042
analandia,-22.12448307795462,-47.66233977037924
anama,-3.5791632887343816,-61.4047788174341
ananas,-6.370023441915632,-48.07261494935044
ananindeua,-1.3664682374065154,-48.40141600314842
ananás,-6.365802118433749,-48.075497185073445
anapolis,-16.32642881460754,-48.948840165919
anapu,-3.463680923180654,-51.20704963716403
anapurus,-3.674193550936725,-43.11039673415855
anastacio,-20.494161788265725,-55.80130487487029
anastácio,-20.487000566820704,-55.806336732309404
anaurilandia,-22.18349362904216,-52.71771123924639
anaurilândia,-22.184245074888018,-52.7191892128821
anchieta,-22.650779972900843,-44.73999794288199
andarai,-12.777115285366511,-41.27650549536144
andaraí,-12.814760684428,-41.32804859966593
andira,-23.04841133221882,-50.22989397409511
andirá,-23.04742637844343,-50.2348855238697
andorinha,-10.344702161161972,-39.830618762669246
andradas,-22.07047143353818,-46.57354819165934
andrade pinto,-22.239158249094665,-43.42344680674862
andradina,-20.899218031973824,-51.377380577639826
andre da rocha,-28.63235819903258,-51.573247145680746
andrelandia,-21.739488547871638,-44.30983691863981
andrelândia,-21.74221397669204,-44.311909773258705
andrequice,-18.25622999999996,-45.06661999999994
andré da rocha,-28.633323952779627,-51.573692583003904
angatuba,-23.495674840075946,-48.407068394255774
angelandia,-17.728946293657646,-42.27073170474983
angelica,-22.15469316484538,-53.77847188256762
angelim,-8.889457801054395,-36.284772829105734
angelina,-27.582060072304067,-48.98438664013938
angelândia,-17.72918272096108,-42.26919778724728
angical,-12.006384427285658,-44.698162626990054
angical do piaui,-6.077160299486864,-42.73579835439659
angical do piauí,-6.0902049442562705,-42.738079875812794
angico,-6.392815765591841,-47.866107210266165
angicos,-5.666031716304029,-36.60327364407801
angra dos reis,-22.99505330727889,-44.35328502084302
anguera,-12.150285458856345,-39.245960093032245
anguereta,-19.14045895574384,-44.656343884728464
angulo,-23.19322532766664,-51.91582932491551
angustura,-21.868313548258158,-42.698740442406134
angélica,-22.158754150920615,-53.77629156972292
anhandui,-20.981461451885522,-54.503718322956225
anhanguera,-18.339832546002228,-48.21937149616647
anhembi,-22.79055313296728,-48.12922837263561
anhumas,-22.296126146139574,-51.38700497454492
anicuns,-16.459840612028366,-49.96081462896285
anisio de abreu,-9.186196771845553,-43.04891895070124
anita garibaldi,-27.687250757458745,-51.128367966768735
anitapolis,-27.90431811708314,-49.12870759259421
anitápolis,-27.903363640614533,-49.1279992272229
anori,-3.7454147776740614,-61.658785623085464
anta,-22.232203929300233,-43.05266133211299
anta gorda,-28.972099031430492,-52.00750426344918
antas,-10.411637869766947,-38.327277843128506
antonina,-25.434704439196352,-48.7127535418243
antonina do norte,-6.775232323102792,-39.988140212898365
antonio almeida,-7.221787053150548,-44.1941006414621
antonio cardoso,-12.437804546717423,-39.120387808882356
antonio carlos,-25.19207382534783,-46.88574860243843
antonio dias,-19.645957369834644,-42.86753891487179
antonio goncalves,-10.57302558573597,-40.27582765702755
antonio joao,-22.190946773341075,-55.94915118985083
antonio martins,-6.213919064448228,-37.89910224097036
antonio olinto,-25.986104950861993,-50.199083172202755
antonio pereira,-20.283938203663602,-43.481873587460164
antonio prado,-28.85721477799151,-51.28458915711346
antonio prado de minas,-21.012742396079165,-42.121740926437454
antunes,-19.907807842506607,-44.698242198322056
antunes (igaratinga),-19.952891167464596,-44.705766537509696
antônio almeida,-7.218767606910639,-44.19612938299576
antônio cardoso,-12.437357096028908,-39.1206630345722
antônio carlos,-24.769809480342488,-46.548802244147154
antônio dias,-19.646763516793058,-42.86376361737888
antônio gonçalves,-10.567980916052049,-40.27579671319823
antônio joão,-22.189572460158054,-55.94924428871426
antônio martins,-6.215480534391254,-37.88836920759543
antônio olinto,-25.925960999999944,-50.133603499999964
antônio pereira,-20.302851650036125,-43.480192602708854
antônio prado,-28.854640909218407,-51.28150487705432
antônio prado de minas,-21.01891842019032,-42.110280183571945
anápolis,-16.327249365651344,-48.94869596705718
aparecida,-22.58872447592176,-45.12960134793972
aparecida d oeste,-20.450816726968945,-50.88286949879962
aparecida d'oeste,-20.454283404365263,-50.88282453060895
aparecida de goiania,-16.777094163599212,-49.27556867811581
aparecida de goiânia,-16.778499672264875,-49.27678827746013
aparecida de minas,-18.867062763128185,-48.264116980102976
aparecida de monte alto,-21.595332856177265,-48.12446105412283
aparecida de sao manuel,-22.73053188890062,-48.61471361851714
aparecida de são manuel,-22.733591606447433,-48.5945885586694
aparecida do rio doce,-18.28854874254037,-51.15799632840345
aparecida do rio negro,-9.950409822060305,-47.97527167504594
aparecida do taboado,-20.080651275371533,-51.10642297448528
aparecida doeste,-20.45510133757992,-50.88130731707086
aperibe,-21.625820347313585,-42.10482247378424
aperibé,-21.62591387155748,-42.105486188667456
apeu,-1.295252999999994,-47.978117999999995
apiaca,-21.153566062601172,-41.567118772204225
apiacas,-9.559467343178108,-57.39235920586494
apiacá,-21.15057398340369,-41.5709705731797
apiacás,-9.539548339767281,-57.39338749594591
apiai,-24.51030427642328,-48.843828618045386
apiaí,-24.51078035363957,-48.845100059912795
apicum-acu,-1.5321989889383978,-45.07954687627498
apiuna,-27.040098540929815,-49.38736340966762
apiúna,-27.036092704620092,-49.38846234523836
apodi,-5.6608569705782,-37.79745260951045
apora,-11.665688918521814,-38.09323846103476
apore,-18.963223077650238,-51.92693904530848
aporá,-11.679041195321036,-38.12718919875406
aporé,-18.96183552377371,-51.92694507718156
apuarema,-13.856428388404744,-39.744409767080825
apucarana,-23.554896617582095,-51.45635322819143
apui,-7.197132487896773,-59.8880159214852
apuiares,-3.946895188563722,-39.43151108792288
apuiarés,-3.9470552952321714,-39.431098675088016
apuí,-7.196901671946424,-59.88933924287576
aquidaba,-10.284870765298363,-37.019145177910744
aquidaban,-23.584743000000003,-51.902743499999985
aquidabã,-10.2842397486987,-37.0200328557081
aquidauana,-20.467619302049197,-55.783090950473515
aquiraz,-3.9123226523542134,-38.376434985468876
arabuta,-27.15840379469822,-52.14243275804496
aracagi,-6.851316677283107,-35.381522051431276
aracai,-19.202364153147403,-44.247919104101896
aracaju,-10.941346378601732,-37.06727810860308
aracariguama,-23.43426317013141,-47.06744872543869
aracas,-12.211395226522539,-38.202747833222865
aracati,-4.56650307165923,-37.76389038540502
aracatu,-14.417742491973552,-41.44989365700188
aracatuba,-21.20555581760857,-50.44319371467775
arace,-19.886590969076384,-40.72353893360273
araci,-11.3352608622577,-38.96194718415279
aracitaba,-21.34116243854412,-43.37755847112716
aracoiaba,-7.172421936626431,-35.75775202569453
aracoiaba da serra,-23.51503482346672,-47.60993200246676
aracruz,-19.847690429635865,-40.22863699645417
aracu,-16.35559065099166,-49.682874097524554
aracuai,-16.868831314390285,-42.07904685695032
aragarcas,-15.910714283055764,-52.23270081465407
