Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,Etat,nbVendeurs,latitudeVille,longitudeVille
vila velha,334,145.00054054054047,23.7160960960961,3.844311377245509,Espírito Santo,4,-20.359658032831952,-40.31021694025278
carapicuiba,328,99.18732307692298,15.480307692307694,4.132930513595166,São Paulo,10,-23.545578557335205,-46.83877557576887
maua,323,136.802382445141,15.003636363636364,4.1419753086419755,São Paulo,13,-23.669993795741227,-46.44890869240463
campo grande,320,181.33863492063492,26.551047619047612,4.136645962732919,Mato Grosso do Sul,4,-20.443109590578032,-54.57693328944182
praia grande,316,127.5595498392282,16.727106109324755,4.116352201257862,São Paulo,10,-24.07804908202932,-46.48784664454135
londrina,306,153.35069306930697,21.913366336633658,4.145631067961165,São Paulo,1,-23.31441588953911,-51.16549611994072
londrina,306,153.35069306930697,21.913366336633658,4.145631067961165,Paraná,25,-23.31441588953911,-51.16549611994072
taboao da serra,296,123.21827586206882,16.092413793103447,4.01328903654485,São Paulo,10,-23.6207381115952,-46.78015554029438
diadema,286,103.49732394366188,16.19760563380282,3.965156794425087,São Paulo,9,-23.689768416180417,-46.611740825698504
serra,285,127.56957894736833,23.18750877192982,3.8916083916083917,Espírito Santo,3,-20.17755342622619,-40.24827651942886
teresina,281,178.45510714285717,37.63185714285714,3.8333333333333335,Piauí,1,-5.082661896995917,-42.79056879008659
indaiatuba,280,134.29532374100708,16.18852517985611,4.245551601423488,São Paulo,8,-23.095823068459897,-47.214789830643205
sao caetano do sul,277,118.00945454545446,15.639054545454545,4.2671480144404335,São Paulo,20,-23.62674764374787,-46.565057775638756
bauru,273,146.1565185185184,20.37437037037037,4.141818181818182,São Paulo,14,-22.32668283930309,-49.066682485334695
maringa,271,141.80632958801485,26.6798127340824,4.051470588235294,Paraná,40,-23.418348520930945,-51.932772137145825
taubate,270,111.32794007490628,18.795318352059923,4.076923076923077,São Paulo,6,-23.025346029570912,-45.564023041746836
duque de caxias,266,129.39041825095046,22.351216730038026,3.7602996254681647,Rio de Janeiro,3,-22.71473796323477,-43.28943011353082
joinville,264,132.21509505703412,23.572243346007596,3.9849056603773585,Santa Catarina,22,-26.296137780383102,-48.84274831142131
joao pessoa,256,209.31027559055113,39.000393700787406,4.031128404669261,Paraïba,2,-7.132031986511363,-34.851423004685145
cotia,250,125.33217741935474,16.874193548387098,4.16,São Paulo,10,-23.610952128091483,-46.90435454556702
cuiaba,248,157.94826612903213,31.989959677419357,3.899193548387097,Mato Grosso,2,-15.598820042909665,-56.0722243772959
maceio,247,181.71739837398366,34.04715447154472,3.6048387096774195,"","",-9.629092475768132,-35.73120478518649
sao carlos,241,127.07701680672258,19.484495798319333,4.223140495867769,São Paulo,13,-22.137704328874786,-48.020217641355785
petropolis,240,139.62226890756293,26.675756302521005,3.9,Rio de Janeiro,6,-22.476819286296735,-43.17086761038725
macae,239,132.22700421940922,26.45337552742616,3.5726141078838176,Rio de Janeiro,3,-22.380942145066868,-41.7888662438425
campos dos goytacazes,238,145.63176470588223,23.230210084033608,3.9453781512605044,Rio de Janeiro,1,-21.76135912690402,-41.320679531016374
suzano,234,108.73334763948489,16.025193133047214,4.177966101694915,São Paulo,3,-23.54952953684076,-46.3095991689705
volta redonda,232,146.2894736842104,23.210307017543858,3.8540772532188843,São Paulo,1,-22.50866919780627,-44.09717153758829
volta redonda,232,146.2894736842104,23.210307017543858,3.8540772532188843,Rio de Janeiro,1,-22.50866919780627,-44.09717153758829
guaruja,226,132.91857142857134,17.4734375,4.092511013215859,São Paulo,6,-23.978902860773438,-46.26040545326232
aracaju,225,165.94454545454536,36.77727272727273,3.7466666666666666,Sergipe,1,-10.941346378601732,-37.06727810860308
americana,224,112.78900452488679,16.983529411764707,4.2,São Paulo,10,-22.737256111041685,-47.32369935794698
caxias do sul,224,171.78602678571426,26.0771875,4.135371179039302,São Paulo,2,-29.163658257979264,-51.17937527854717
caxias do sul,224,171.78602678571426,26.0771875,4.135371179039302,Rio Grande do Sul,16,-29.163658257979264,-51.17937527854717
montes claros,211,126.49710900473926,22.732227488151658,4.260663507109005,Minas Gerais,3,-16.728481233546674,-43.86084218725256
canoas,210,128.15909090909085,24.868803827751197,3.9624413145539905,Rio Grande do Sul,9,-29.921655879098733,-51.174495237165324
natal,207,175.26521951219502,33.76404878048781,3.9903846153846154,Rio Grande do Norte,2,-5.812242777634389,-35.2214626461548
betim,203,149.21547263681583,21.679651741293537,4.122549019607843,Minas Gerais,5,-19.954066182129807,-44.16696162695821
santa maria,197,161.47482233502532,28.052233502538066,4.186868686868687,Rio Grande do Sul,3,-29.550815260033577,-53.709516558385715
marilia,196,172.98102040816326,18.31474489795918,4.2639593908629445,São Paulo,15,-22.20944528746971,-49.94761150402022
jacarei,194,95.7467875647668,15.368704663212435,4.097938144329897,São Paulo,7,-23.296728672789897,-45.96374124064232
uberaba,191,151.78962962962953,24.600582010582013,4.44559585492228,Minas Gerais,3,-19.752823866371905,-47.935837449992846
limeira,190,122.13698412698406,17.40888888888889,4.219895287958115,São Paulo,17,-22.573478963976974,-47.408479247924056
blumenau,188,132.38160427807478,23.997647058823528,4.154255319148936,São Paulo,1,-26.899545050254904,-49.08859270065109
blumenau,188,132.38160427807478,23.997647058823528,4.154255319148936,Santa Catarina,20,-26.899545050254904,-49.08859270065109
pelotas,186,121.66918478260862,27.007934782608697,4.175531914893617,Rio Grande do Sul,3,-31.751268758641064,-52.33736241072298
feira de santana,185,149.4712972972972,26.024918918918914,4.048387096774194,Bahia,1,-12.250012686237463,-38.95696188720092
santana de parnaiba,185,127.98928571428567,16.274945054945054,4.118279569892473,São Paulo,9,-23.45227184674429,-46.88017162684783
valinhos,183,123.20519125683053,17.016775956284153,4.209677419354839,São Paulo,7,-22.970891180445857,-46.99698053847307
sumare,183,118.71779005524857,17.29756906077348,3.9239130434782608,São Paulo,5,-22.820374918645964,-47.23182615492961
itaquaquecetuba,172,113.24701754385957,14.994678362573097,3.895348837209302,São Paulo,9,-23.47025942737683,-46.342772865625825
ipatinga,171,128.40479532163738,24.675789473684212,3.9767441860465116,Minas Gerais,2,-19.469778652462967,-42.55329183239245
itapevi,170,107.93476470588229,16.485294117647054,4.251461988304094,São Paulo,4,-23.54862943385628,-46.94612308104324
sao jose,169,121.13369047619041,23.791488095238098,3.764705882352941,Santa Catarina,5,-27.580258617294348,-48.63196115615601
embu das artes,165,126.38853658536577,15.359268292682925,4.066666666666666,São Paulo,2,-23.654184104143738,-46.82259825455928
sao vicente,165,129.52715151515147,16.65351515151515,4.096385542168675,São Paulo,1,-23.903967342062064,-46.3603068354054
presidente prudente,161,163.72581249999993,23.226,4.171779141104294,São Paulo,12,-22.12149166684966,-51.40467191881969
franca,161,141.15553459119488,21.142075471698114,4.074534161490683,São Paulo,20,-20.534056764659475,-47.39843655679908
atibaia,159,133.20515923566873,18.30063694267516,4.2075471698113205,São Paulo,11,-23.1231345192445,-46.56048198733121
rio claro,157,132.2939354838709,19.912838709677416,4.382165605095541,São Paulo,12,-22.412604323704908,-47.49054989531773
araraquara,155,132.15629870129862,18.504415584415586,4.361290322580645,São Paulo,11,-21.782712943567883,-48.17171498477067
cascavel,153,161.6423529411764,27.275032679738562,4.091503267973856,Paraná,14,-24.447416205682504,-53.08875663193512
nova friburgo,152,186.83259999999996,23.734600000000007,3.6474358974358974,Rio de Janeiro,5,-22.279974771040884,-42.526645400648526
braganca paulista,146,139.77513888888885,17.74729166666667,4.226027397260274,São Paulo,5,-22.94842035356781,-46.54131547902729
hortolandia,145,113.95317241379304,15.347310344827584,3.806896551724138,São Paulo,2,-22.883727627300885,-47.204836448505475
ponta grossa,143,133.2632394366197,22.738732394366203,4.391608391608392,Paraná,6,-25.093201294628834,-50.1570545540559
aracatuba,141,120.3855395683453,19.593453237410074,4.127659574468085,São Paulo,4,-21.20555581760857,-50.44319371467775
governador valadares,141,141.43201438848914,25.363741007194243,4.205673758865248,Minas Gerais,1,-18.86417772604703,-41.95358966495241
manaus,140,148.5795683453237,36.98201438848922,4.198581560283688,Amazonas,1,-3.0795783434247923,-60.00710744674126
cariacica,139,127.3520289855072,21.878043478260874,4.01418439716312,Espírito Santo,2,-20.330278597042394,-40.38342691295593
marica,139,113.55768115942027,20.938913043478262,3.893617021276596,Rio de Janeiro,1,-22.927070740029524,-42.866088849611636
divinopolis,137,261.49459259259254,25.855333333333334,4.124087591240876,Minas Gerais,8,-20.144553923366622,-44.88919731558963
rio das ostras,137,149.03463235294114,26.169926470588237,3.6350364963503647,"","",-22.51402632392653,-41.938722445730065
itu,136,94.12614814814813,14.896666666666668,4.213235294117647,São Paulo,4,-23.286022429648412,-47.30328085446804
jaboatao dos guararapes,135,158.55674074074065,31.61259259259259,3.948148148148148,"","",-8.155733539576072,-34.94990359544573
sao joao de meriti,134,142.39575757575753,24.27931818181818,3.6791044776119404,Rio de Janeiro,3,-22.78612646434462,-43.36984637905677
sao jose dos pinhais,133,115.45076335877859,20.148015267175573,4.007518796992481,São Paulo,1,-25.53094627920345,-49.175290814529696
sao jose dos pinhais,133,115.45076335877859,20.148015267175573,4.007518796992481,Paraná,9,-25.53094627920345,-49.175290814529696
pouso alegre,131,163.14664122137398,21.551145038167945,4.052631578947368,Minas Gerais,1,-22.23628738442873,-45.93097049415967
paulinia,130,129.1371317829457,16.528294573643414,4.166666666666667,São Paulo,4,-22.765232498134225,-47.158572746889256
sete lagoas,128,136.2862204724409,23.078503937007877,4.2846153846153845,Minas Gerais,4,-19.456922662275907,-44.23993688925751
rio grande,125,133.19983870967738,23.658951612903227,4.024,Rio Grande do Sul,1,-32.07091373894832,-52.130616381249475
